Station Name,Start Date,End Date,Length of Data (Years),Has Missing Data,Missing Date Ranges,Common Duration
Stung Treng,1910-01-01,2023-11-27,114,TRUE,2023-11-09 -> 2023-11-11,No common duration
Kratie,1933-01-08,2023-11-27,91,TRUE,"1933-12-22 -> 1933-12-31, 2023-11-09 -> 2023-11-11",No common duration
Chroy Chang Var,1960-01-01,2012-12-31,53,TRUE,"2009-01-01 -> 2010-12-31, 2011-03-02 -> 2011-03-02, 2011-12-19 -> 2011-12-20, 2012-01-14 -> 2012-01-14, 2012-02-02 -> 2012-02-02, 2012-06-01 -> 2012-06-01",No common duration
Kompong Cham,1930-01-01,2023-11-27,94,TRUE,2023-11-09 -> 2023-11-11,No common duration
Phnom Penh Port,1960-01-01,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-11,No common duration
Chaktomuk,1960-01-01,2023-11-27,64,TRUE,"1975-01-01 -> 1980-06-30, 2008-07-12 -> 2008-07-12, 2023-11-09 -> 2023-11-11",No common duration
Chantangoy,1960-02-06,2008-12-31,49,TRUE,"1960-02-07 -> 1960-02-24, 1960-02-26 -> 1960-03-09, 1961-01-01 -> 1991-12-31, 1992-05-29 -> 1992-12-31, 1993-03-28 -> 1993-10-31, 2008-01-01 -> 2008-05-25, 2008-05-30 -> 2008-05-30, 2008-06-21 -> 2008-06-30",No common duration
Ban Kamphun,1960-02-05,2008-12-31,49,TRUE,"1960-02-06 -> 1960-02-23, 1960-02-25 -> 1960-03-11, 1970-03-29 -> 1993-01-21, 1993-04-01 -> 1993-11-30, 2003-11-01 -> 2004-01-31, 2004-03-01 -> 2004-03-31, 2005-01-19 -> 2005-01-19, 2005-01-26 -> 2005-01-26, 2005-06-22 -> 2005-06-22, 2008-01-01 -> 2008-05-25, 2008-06-21 -> 2008-06-30",No common duration
Lumphat,1965-01-01,2023-11-27,59,TRUE,"1965-02-01 -> 1965-04-24, 1966-10-01 -> 1967-02-28, 1968-01-01 -> 1968-03-31, 1970-04-01 -> 2000-05-06, 2004-08-01 -> 2004-12-31, 2005-02-01 -> 2005-05-31, 2006-04-21 -> 2006-04-21, 2006-04-30 -> 2006-04-30, 2007-11-27 -> 2007-11-27, 2007-12-01 -> 2007-12-03, 2010-12-27 -> 2010-12-27, 2013-01-01 -> 2013-05-31, 2015-12-26 -> 2015-12-31, 2023-11-09 -> 2023-11-11",No common duration
Battambang,1962-04-01,2012-12-31,51,TRUE,"1963-04-01 -> 1972-03-31, 1972-12-10 -> 1973-03-19, 1973-05-26 -> 1973-06-17, 1973-10-01 -> 1973-10-31, 1973-12-01 -> 1981-04-30, 1981-12-01 -> 1982-01-31, 1986-03-01 -> 1986-08-10, 1987-07-01 -> 1987-07-31, 1988-07-05 -> 1988-07-28, 1988-08-01 -> 1997-03-12, 2009-03-24 -> 2009-03-24, 2010-10-30 -> 2010-10-31, 2010-12-30 -> 2010-12-30, 2011-02-27 -> 2011-02-27, 2011-12-02 -> 2011-12-02, 2012-01-03 -> 2012-01-03, 2012-11-24 -> 2012-11-24, 2012-12-02 -> 2012-12-07",No common duration
Luang Prabang,1960-01-01,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-12,No common duration
Vientiane KM4,1923-01-01,2023-11-27,101,TRUE,"1940-01-01 -> 1941-12-31, 1945-01-01 -> 1946-12-31, 1953-01-01 -> 1959-12-31, 2022-11-10 -> 2022-11-15, 2023-05-01 -> 2023-05-03, 2023-11-09 -> 2023-11-12",No common duration
Pakse,1960-01-01,2023-11-27,64,TRUE,"2019-10-17 -> 2019-10-17, 2023-11-09 -> 2023-11-12",No common duration
Ban Pak Kanhoung,1963-01-01,2023-11-27,61,TRUE,"1969-12-01 -> 1969-12-31, 1975-05-01 -> 1975-12-31, 1977-03-01 -> 1988-12-31, 1990-04-28 -> 1990-05-15, 1990-05-18 -> 1990-06-02, 2007-01-01 -> 2007-06-30, 2007-11-01 -> 2008-01-01, 2008-01-20 -> 2008-01-20, 2008-01-26 -> 2008-01-26, 2008-02-03 -> 2008-02-04, 2008-02-07 -> 2008-02-07, 2008-02-09 -> 2008-02-09, 2017-01-01 -> 2017-02-28, 2019-10-15 -> 2019-10-15, 2019-12-07 -> 2019-12-08, 2023-07-27 -> 2023-07-27, 2023-11-09 -> 2023-11-12",No common duration
Ban Na Luang,1986-06-03,2006-12-31,21,TRUE,1986-09-23 -> 1986-11-20,No common duration
Ban Kengdone,1960-02-16,2023-10-28,64,TRUE,"1960-03-06 -> 1960-03-14, 1960-06-06 -> 1960-06-09, 1960-06-29 -> 1960-07-06, 1972-07-31 -> 1972-08-31, 1974-01-01 -> 1974-01-31, 1974-03-01 -> 1974-03-31, 1978-07-01 -> 1979-07-31, 1979-11-15 -> 1979-11-15, 1980-01-01 -> 1988-07-15, 1990-01-01 -> 1990-05-31, 1990-11-28 -> 1990-11-30, 1992-01-01 -> 1992-02-29, 1993-12-24 -> 1993-12-31, 1994-12-31 -> 1994-12-31, 2007-01-01 -> 2009-05-28, 2009-05-30 -> 2011-06-21, 2011-06-24 -> 2011-06-30, 2013-05-15 -> 2013-05-31, 2015-11-04 -> 2015-11-09, 2015-11-12 -> 2015-11-14, 2015-11-21 -> 2015-12-31, 2016-04-07 -> 2016-06-30, 2018-02-06 -> 2018-07-22, 2018-07-24 -> 2023-09-18, 2023-10-24 -> 2023-10-27",No common duration
Chiang Saen,1960-04-30,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-12,No common duration
Chiang Khan,1965-01-01,2023-11-27,59,TRUE,"1965-03-07 -> 1965-06-12, 1966-01-01 -> 1966-02-14, 1966-03-19 -> 1966-05-23, 2023-11-09 -> 2023-11-12",No common duration
Nong Khai,1965-01-01,2023-11-27,59,TRUE,2023-11-09 -> 2023-11-12,No common duration
Nakhon Phanom,1972-04-01,2023-11-27,52,TRUE,2023-11-09 -> 2023-11-12,No common duration
Mukdahan,1960-01-01,2023-11-27,64,TRUE,2023-11-09 -> 2023-11-12,No common duration
Khong Chiam,1966-01-01,2023-11-27,58,TRUE,"2008-01-01 -> 2008-03-31, 2023-11-09 -> 2023-11-12",No common duration
Ban Huai Yano Mai,1975-04-01,2003-12-31,29,FALSE,None,No common duration
Ban Tha Ton,1969-01-01,2005-12-30,37,TRUE,"1969-11-02 -> 1969-11-02, 1970-12-04 -> 1970-12-04, 1970-12-14 -> 1970-12-14, 1973-03-11 -> 1973-03-11, 1973-11-24 -> 1973-11-25, 1975-01-13 -> 1975-01-15, 1978-01-12 -> 1978-01-15, 1979-10-29 -> 1979-10-29, 1979-12-12 -> 1979-12-12, 1980-12-11 -> 1980-12-11, 1980-12-15 -> 1980-12-15, 1983-11-14 -> 1983-11-14, 1983-11-19 -> 1983-11-19, 1983-12-30 -> 1983-12-31, 1984-12-03 -> 1984-12-03, 1985-01-01 -> 1985-01-02, 1985-11-18 -> 1985-11-18, 1985-11-22 -> 1985-11-22, 1985-12-03 -> 1985-12-03, 1987-01-02 -> 1987-01-06, 1987-03-06 -> 1987-03-06, 1988-04-29 -> 1988-04-29, 1988-12-02 -> 1988-12-02, 1989-11-21 -> 1989-11-21, 1989-11-25 -> 1989-11-26, 1989-12-02 -> 1989-12-02, 1990-05-06 -> 1990-05-06, 1991-12-29 -> 1991-12-30, 1994-09-26 -> 1994-09-26, 1994-11-29 -> 1994-12-01, 1994-12-03 -> 1994-12-03, 1994-12-08 -> 1994-12-09, 1995-11-16 -> 1995-11-18, 1995-12-08 -> 1995-12-08, 1999-01-21 -> 1999-01-21, 2001-03-16 -> 2001-03-17, 2002-11-29 -> 2002-12-01, 2002-12-06 -> 2002-12-06, 2003-01-07 -> 2003-01-10, 2003-02-09 -> 2003-02-12, 2004-04-29 -> 2004-04-29, 2005-01-01 -> 2005-01-01, 2005-03-21 -> 2005-03-23, 2005-12-09 -> 2005-12-09",No common duration
Ban Tha Mai Liam,1969-01-01,2003-12-31,35,FALSE,None,No common duration
Ban Pak Huai,1967-04-01,2007-12-31,41,TRUE,2004-01-01 -> 2005-12-31,No common duration
Yasothom,1962-01-01,2003-12-31,42,TRUE,1966-01-01 -> 1966-03-31,No common duration
Ban Chot,1975-04-01,2003-12-31,29,FALSE,None,No common duration
Ban Nong Kiang,1975-04-01,2003-12-31,29,TRUE,"1978-09-01 -> 1978-10-12, 1978-11-01 -> 1978-11-11, 1981-03-27 -> 1981-03-27, 1991-08-19 -> 1991-08-20",No common duration
Ban Tad Ton,1976-04-01,2003-12-31,28,TRUE,1981-03-27 -> 1981-03-27,No common duration
Ban Huai Khayuong,1979-04-01,2003-12-31,25,FALSE,None,No common duration
Tan Chau,1979-04-01,2023-11-27,45,TRUE,"1979-08-04 -> 1979-08-11, 1986-02-17 -> 1986-02-22, 1991-01-01 -> 1991-12-31, 2001-01-01 -> 2001-01-01, 2001-12-31 -> 2001-12-31, 2019-03-27 -> 2019-03-29, 2021-05-08 -> 2021-05-08, 2022-08-11 -> 2022-08-11, 2022-11-06 -> 2022-11-06, 2023-11-09 -> 2023-11-09",No common duration
My Thuan,1960-06-30,2023-11-27,64,TRUE,"1961-12-16 -> 1979-03-31, 1983-06-05 -> 1983-06-07, 2007-01-01 -> 2007-04-30, 2007-12-16 -> 2007-12-31, 2014-11-30 -> 2014-11-30, 2019-01-17 -> 2019-01-17, 2019-01-23 -> 2019-01-23, 2019-03-27 -> 2019-03-29, 2019-08-18 -> 2019-08-18, 2019-11-30 -> 2019-11-30, 2019-12-10 -> 2019-12-15, 2020-01-28 -> 2020-01-28, 2020-01-31 -> 2020-01-31, 2020-02-16 -> 2020-02-16, 2020-03-07 -> 2020-03-07, 2020-03-13 -> 2020-03-13, 2020-08-05 -> 2020-08-05, 2021-03-30 -> 2021-03-30, 2022-08-11 -> 2022-08-11, 2023-11-09 -> 2023-11-09",No common duration
My Tho,1985-01-01,2012-12-31,28,TRUE,"2007-01-01 -> 2007-12-31, 2008-02-26 -> 2008-02-26, 2010-04-23 -> 2010-04-23",No common duration
Cho Moi,1980-04-01,2012-12-31,33,TRUE,"1985-12-08 -> 1985-12-10, 1985-12-29 -> 1985-12-30, 1986-01-25 -> 1986-02-22, 1987-02-28 -> 1987-03-14, 2007-01-01 -> 2007-12-31",No common duration
Chau Doc,1960-06-29,2023-11-27,64,TRUE,"1960-10-31 -> 1960-10-31, 1961-02-06 -> 1961-03-28, 1961-04-14 -> 1961-04-26, 1961-08-20 -> 1961-08-28, 1961-10-01 -> 1961-10-14, 1961-10-31 -> 1961-11-08, 1961-12-02 -> 1961-12-16, 1962-01-01 -> 1979-03-31, 1986-02-15 -> 1986-02-20, 1993-01-01 -> 1993-01-31, 1994-12-31 -> 1994-12-31, 2013-12-21 -> 2013-12-21, 2019-03-27 -> 2019-03-29, 2021-04-22 -> 2021-04-22, 2022-08-11 -> 2022-08-11, 2023-11-09 -> 2023-11-09",No common duration
Can Tho,1979-04-01,2023-11-27,45,TRUE,"1982-06-16 -> 1982-06-17, 1983-04-09 -> 1983-04-09, 1983-05-22 -> 1983-05-22, 1983-06-03 -> 1983-06-08, 1983-07-06 -> 1983-07-06, 1984-06-24 -> 1984-06-24, 2007-01-01 -> 2007-03-31, 2007-12-16 -> 2007-12-31, 2018-11-02 -> 2018-11-02, 2019-03-27 -> 2019-03-29, 2019-09-04 -> 2019-09-04, 2019-12-10 -> 2019-12-15, 2020-02-22 -> 2020-02-22, 2020-10-03 -> 2020-10-03, 2021-02-27 -> 2021-02-27, 2021-03-30 -> 2021-03-30, 2022-08-11 -> 2022-08-11, 2023-01-16 -> 2023-01-16, 2023-11-09 -> 2023-11-09",No common duration
Dai Ngai,1985-01-01,2012-12-30,28,TRUE,2007-01-01 -> 2007-12-31,No common duration
Kontum,1966-01-01,2023-11-27,58,TRUE,"1970-01-01 -> 1973-05-31, 1973-07-09 -> 1973-07-26, 1973-08-13 -> 1973-09-09, 1974-01-01 -> 1983-12-31, 1995-10-28 -> 1995-10-28, 1995-11-03 -> 1995-11-05, 1995-11-12 -> 1995-11-12, 1996-11-03 -> 1996-11-05, 1996-12-01 -> 1996-12-02, 2001-03-29 -> 2001-03-29, 2001-10-23 -> 2001-10-23, 2002-05-03 -> 2002-05-03, 2002-10-26 -> 2002-10-26, 2003-04-28 -> 2003-04-28, 2003-11-15 -> 2003-11-16, 2004-06-13 -> 2004-06-14, 2004-10-29 -> 2004-10-29, 2005-07-31 -> 2005-07-31, 2005-11-02 -> 2005-11-02, 2006-06-19 -> 2006-06-19, 2007-01-01 -> 2008-01-01, 2008-10-17 -> 2008-10-17, 2008-11-21 -> 2008-11-21, 2009-05-27 -> 2009-05-27, 2012-02-19 -> 2012-02-20, 2013-01-01 -> 2013-02-28, 2015-12-29 -> 2016-01-01, 2018-02-11 -> 2018-02-12, 2019-05-07 -> 2019-05-13, 2020-01-24 -> 2020-01-24, 2020-04-04 -> 2020-04-04, 2020-04-30 -> 2020-04-30, 2023-11-07 -> 2023-11-12",No common duration
Duc Xuyen,1985-01-01,2023-11-27,39,TRUE,"1995-10-27 -> 1995-10-27, 1996-11-20 -> 1996-11-20, 1996-12-27 -> 1996-12-27, 1997-11-03 -> 1997-11-05, 1999-01-12 -> 1999-01-19, 1999-01-27 -> 1999-01-27, 1999-05-12 -> 1999-05-12, 1999-12-04 -> 1999-12-04, 2002-06-24 -> 2002-06-24, 2003-12-11 -> 2003-12-11, 2004-06-24 -> 2004-06-24, 2004-10-02 -> 2004-10-02, 2005-12-17 -> 2005-12-17, 2005-12-25 -> 2005-12-25, 2007-01-01 -> 2013-04-30, 2013-05-05 -> 2013-05-05, 2013-05-30 -> 2013-05-30, 2015-12-29 -> 2016-01-01, 2018-01-01 -> 2018-01-01, 2018-02-11 -> 2018-02-12, 2019-05-07 -> 2019-05-13, 2020-01-24 -> 2020-01-24, 2020-04-04 -> 2020-04-04, 2020-04-30 -> 2020-04-30, 2023-11-07 -> 2023-11-12",No common duration
